kanji,kana,meaningZh,exampleJa,exampleZh
片付ける,かたづける ④,收拾、整理,部屋をきれいに片付けてから、友達を呼んだ。,把房间收拾干净后，叫了朋友过来。
遠慮,えんりょ ⓪,客气、顾虑,遠慮しないで、もっとたくさん食べて。,请别客气，再多吃点。
珍しい,めずらしい ④,稀奇、罕见,日本で雪が降るのは珍しいことではない。,在日本下雪并不是什么稀罕事。
確か,たしか ①,确实,彼は確か、昨日ここに来たはずです。,他昨天确实应该来过这里。
複雑,ふくざつ ⓪,复杂,この機械は操作が複雑で、使いにくい。,这台机器操作复杂，很难用。
危険,きけん ⓪,危险,この道は夜一人で歩くのは危険です。,这条路晚上一个人走很危险。
訪ねる,たずねる ③,访问,明日、京都の古いお寺を訪ねる予定です。,计划明天去拜访京都的古老寺庙。
なるほど,なるほど ⓪,原来如此,なるほど、あなたの言うことはよくわかった。,原来如此，我明白你说的话了。
やっぱり,やっぱり ③,果然,やっぱり、このレストランは人気があるね！,果然，这家餐厅很受欢迎啊！
せっかく,せっかく ⓪,特意、好不容易,せっかく準備したのに、雨で中止になった。,特意准备了，却因为下雨中止了。
わざと,わざと ①,故意,彼はわざと負けたのかもしれない。,他说不定是故意输掉的。
ついに,ついに ①,终于,長い間研究を続けて、ついに答えを見つけた。,持续研究了很久，终于找到了答案。
どうしても,どうしても ①,无论如何,どうしてもこの映画が見たかった。,我无论如何都想看这部电影。
うっかり,うっかり ②,不留神,うっかりして、財布を忘れてきてしまった。,一不留神，把钱包给忘了。
ぎりぎり,ぎりぎり ⓪,勉强、极限,締め切りにぎりぎり間に合った。,勉强赶上了截止日期。
のんびり,のんびり ③,悠闲,休みの日は、家でのんびり過ごすのが好きだ。,休息日喜欢在家里悠闲地度过。
呼び出し,よびだし ⓪,呼叫,迷子のお知らせで、名前を呼び出された。,广播寻找走失儿童时，叫到了名字。
犯人,はんにん ①,犯人,警察が、事件の犯人を捕まえました。,警察抓住了案件的犯人。
警官,けいかん ⓪,警官,道に迷ったので、警官に尋ねました。,因为迷路了，所以向警官询问。
撃つ,うつ ①,开枪、射击,犯人が、銃を空に向けて撃ちました。,犯人朝空中开了一枪。
重傷,じゅうしょう ⓪,重伤,彼は事故で重傷を負いましたが、命は助かった。,他在事故中受了重伤，但保住了性命。
負う,おう ⓪,负、担负,彼は仕事に対して、大きな責任を負っている。,他对工作承担着巨大的责任。
決心,けっしん ①,下决心,彼は日本へ行くことを決心した。,他下定决心要去日本。
看護師,かんごし ③,护士,彼女は将来、看護師になりたいそうだ。,听说她将来想当护士。
返却,へんきゃく ⓪,返还、归还,借りた本を、明日までに返却しなければならない。,借的书必须在明天之前归还。
ゆうべ,ゆうべ ⓪,昨晚,ゆうべは、遅くまで勉強していました。,昨晚一直学习到很晚。
蚊,か ⓪,蚊子,部屋に蚊がいて、なかなか眠れなかった。,房间里有蚊子，怎么也睡不着。
かゆい,かゆい ②,痒,蚊に刺されたところが、とてもかゆいです。,被蚊子叮的地方非常痒。
肌,はだ ①,皮肤,彼女は肌がきれいで、若く見えます。,她皮肤很好，看起来很年轻。
掻く,かく ①,挠、抓,かゆいところを掻きすぎて、血が出た。,抓痒抓得太厉害，出血了。
通勤,つうきん ⓪,通勤、上下班,毎日、電車で一時間かけて通勤しています。,每天花一小时坐电车上下班。
素敵,すてき ⓪,极好、漂亮,そのドレス、とても素敵ですね。,那件连衣裙，非常漂亮呢。
令愛,れいあい ⓪,令爱（对他女儿称呼）,田中さんのご令愛は、今年大学生になる。,田中先生的令爱今年要成为大学生。
非常,ひじょう ⓪,非常,今日のテストは、非常に難しかったです。,今天的考试非常难。
水不足,みずぶそく ④,缺水、干旱,雨が降らないので、深刻な水不足になった。,因为不下雨，导致了严重的缺水。
新入社員,しんにゅうしゃいん ⑤,新职员,春に、十人の新入社員が入社しました。,春天有十名新员工入职了。
倍,ばい ⓪,倍数,物価が、十年前の二倍になった。,物价变成了十年前的两倍。
単位,たんい ①,单位、学分,卒業するために、あと十単位必要です。,为了毕业，还需要十个学分。
就職,しゅうしょく ⓪,就职、工作,兄は卒業後、地元の銀行に就職しました。,哥哥毕业后在当地的银行就职了。
画面,がめん ①,画面、屏幕,スマホの画面が割れてしまった。,手机屏幕碎了。
調査,ちょうさ ①,调查,最近の若者の流行について調査した。,调查了最近年轻人的流行趋势。
不景気,ふけいき ②,经济萧条,不景気の影響で、アルバイトが減っている。,受经济萧条影响，兼职在减少。
消費者,しょうひしゃ ③,消费者,消費者の意見を商品に反映させる。,将消费者的意见反映在产品中。
呼び出し,よびだし ⓪,呼叫、传唤,迷子のお知らせで、名前を呼び出された。,广播寻找走失儿童时，叫到了名字。
犯人,はんにん ①,犯人,警察が、事件の犯人を捕まえました。,警察抓住了案件的犯人。
警官,けいかん ⓪,警官,道に迷ったので、警官に尋ねました。,因为迷路了，所以向警官询问。
撃つ,うつ ①,开枪、射击,犯人が、銃を空に向けて撃ちました。,犯人朝空中开了一枪。
重傷,じゅうしょう ⓪,重伤,彼は事故で重傷を負いましたが、命は助かった。,他在事故中受了重伤，但保住了性命。
負う,おう ⓪,负、担负,彼は仕事に対して、大きな責任を負っている。,他对工作承担着巨大的责任。
決心,けっしん ①,下决心,彼は日本へ行くことを決心した。,他下定决心要去日本。
看護師,かんごし ③,护士,彼女は将来、看護師になりたいそうだ。,听说她将来想当护士。
返却,へんきゃく ⓪,返还、归还,借りた本を、明日までに返却しなければならない。,借的书必须在明天之前归还。
ゆうべ,ゆうべ ⓪,昨晚,ゆうべは、遅くまで勉強していました。,昨晚一直学习到很晚。
蚊,か ⓪,蚊子,部屋に蚊がいて、なかなか眠れなかった。,房间里有蚊子，怎么也睡不着。
かゆい,かゆい ②,痒,蚊に刺されたところが、とてもかゆいです。,被蚊子叮的地方非常痒。
肌,はだ ①,皮肤,彼女は肌がきれいで、若く见えます。,她皮肤很好，看起来很年轻。
掻く,かく ①,挠、抓,かゆいところを掻きすぎて、血が出た。,抓痒抓得太厉害，出血了。
通勤,つうきん ⓪,通勤、上下班,毎日、電車で一時間かけて通勤しています。,每天花一小时坐电车上下班。
素敵,すてき ⓪,极好、漂亮,そのドレス、とても素敵ですね。,那件连衣裙，非常漂亮呢。
令愛,れいあい ⓪,令爱（对他女儿称呼）,田中さんのご令愛は、今年大学生になる。,田中先生的令爱今年要成为大学生。
非常,ひじょう ⓪,非常,今日のテストは、非常に難しかったです。,今天的考试非常难。
水不足,みずぶそく ④,缺水、干旱,雨が降らないので、深刻な水不足になった。,因为不下雨，导致了严重的缺水。
新入社員,しんにゅうしゃいん ⑤,新职员,春に、十人の新入社員が入社しました。,春天有十名新员工入职了。
倍,ばい ⓪,倍数,物価が、十年前の二倍になった。,物价变成了十年前的两倍。
単位,たんい ①,单位、学分,卒業するために、あと十単位必要です。,为了毕业，还需要十个学分。
就職,しゅうしょく ⓪,就职、工作,兄は卒業後、地元の銀行に就職しました。,哥哥毕业后在当地的银行就职了。
画面,がめん ①,画面、屏幕,スマホの画面が割れてしまった。,手机屏幕碎了。
調査,ちょうさ ①,调查,最近の若者の流行について調査した。,调查了最近年轻人的流行趋势。
不景気,ふけいき ②,经济萧条,不景気の影響で、アルバイトが減っている。,受经济萧条影响，兼职在减少。
消費者,しょうひしゃ ③,消费者,消費者の意見を商品に反映させる。,将消费者的意见反映在产品中。
噂,うわさ ⓪,传闻,その噂は、あっという間に広がった。,那个传闻一转眼就传开了。
寂しい,さびしい ③,寂寞,一人暮らしは、時々寂しく感じます。,一个人生活有时会感到寂寞。
意外,いがい ⓪,意外,彼は真面目そうに見えて、意外に面白い。,他看起来很认真，想不到挺有趣的。
性能,せいのう ⓪,性能,このカメラは性能がいいので、きれいに撮れる。,这台相机性能很好，拍得很漂亮。
おしゃべり,おしゃべり ⓪,聊天,授業中におしゃべりをして、先生に怒られた。,上课聊天被老师批评了。
残業,ざんぎょう ⓪,加班,仕事が終わらないので、今日は残業します。,工作没做完，今天加班。
減る,へる ⓪,减少,最近、この町の人口が減っています。,最近这个城市的人口正在减少。
諦める,あきらめる ④,放弃,夢を諦めないで、頑張り続けてください。,请不要放弃梦想，继续努力。
しょうがない,しょうがない ⓪,没办法,壊れてしまったものは、もうしょうがない。,已经弄坏的东西，也没办法了。
手伝う,てつだう ③,帮忙,重い荷物を持つのを手伝ってください。,请帮我拿一下沉重的行李。
教師,きょうし ①,教师,私の父は、高校の数学の教師です。,我父亲是高中的数学老师。
チェック,チェック ①,检查,提出する前に、もう一度チェックしてください。,提交之前请再检查一遍。
鳴る,なる ⓪,响,授業の終わりのチャイムが鳴りました。,下课铃响了。
飛び乗る,とびのる ③,跳上（车等）,急いで電車に飛び乗りました。,急忙跳上了电车。
反対方向,はんたいほうこう ④,相反方向,間違えて、反対方向の電車に乗った。,坐错了，上了相反方向的车。
間違い電話,まちがいでんわ ⑤,打错电话,夜中に間違い電話がかかってきて驚いた。,半夜接到打错的电话吓了一跳。
年末,ねんまつ ⓪,年末,年末は、仕事がとても忙しくなります。,年末工作会变得非常忙碌。
猫の手も借りたい,ねこのてもかりたい ⓪,忙得不可开交,今日は忙しくて、猫の手も借りたいほどだ。,今天忙得简直想找猫来帮忙。
ランチタイム,ランチタイム ③,午餐时间,ランチタイムは、どこのレストランも混んでいる。,午餐时间哪家餐厅都人满为患。
伝統,でんとう ⓪,传统,日本の伝統的なお祭りに参加した。,参加了日本的传统节日。
急に,きゅうに ⓪,突然,急に雨が降ってきたので、雨宿りをした。,突然下起雨来，于是去躲雨了。
背中,せなか ⓪,后背,彼は背中が広くて、頼りがいがある。,他的背影很宽阔，很可靠。
息が止まる,いきがとまる ⓪,屏住呼吸,その美しさに、思わず息が止まった。,屏息于那份美丽。
婚約指輪,こんやくゆびわ ⑤,订婚戒指,彼は彼女に、高価な婚約指輪を贈った。,他送了她一枚昂贵的订婚戒指。
ドラマ,ドラマ ①,连续剧,私は最近、日本のドラマにハマっています。,我最近迷上了日剧。
内容,ないよう ①,内容,この本の内容は、とても分かりやすい。,这本书的内容非常通俗易懂。
文章,ぶんしょう ①,文章,彼は美しい文章を書くのが得意だ。,他擅长写优美的文章。
全体,ぜんたい ⓪,全体,クラス全体で、文化祭の準備をした。,全班同学一起准备了文化节。
険しい,けわしい ③,险峻,山道は険しいですが、景色は最高です。,山路虽然险峻，但景色是最棒的。
日課,にっか ⓪,每天的例行公事,毎朝ジョギングをするのが私の日課だ。,每天早上慢跑是我的日常例行。
ひも,ひも ⓪,绳子,靴のひもを結び直しました。,重新系好了鞋带。
振る,ふる ⓪,挥、摇,彼女は駅のホームで手を振った。,她在车站站台挥了挥手。
ハト,ハト ①,鸽子,公園でハトにエサをあげている人がいる。,有人在公园里给鸽子喂食。
ベル,ベル ①,铃,玄関のベルが鳴ったので、出迎えに行った。,门铃响了，于是去迎接。
観客,かんきゃく ⓪,观众,コンサート会場は、多くの観客で埋まった。,演唱会现场挤满了观众。
いっせいに,いっせいに ⓪,齐声、一齐,鳥たちが、いっせいに空へ飛び立った。,鸟儿们一齐飞向天空。
向かう,むかう ⓪,前往、面对,電車は、東京駅に向かって走っている。,列车正向东京站行驶。
登場,とうじょう ⓪,登场,映画の最後に、有名な俳優が登場した。,电影最后，著名的演员登场了。
クッキー,クッキー ①,曲奇、小甜饼,彼女が焼いたクッキーは、とても美味しい。,她烤的曲奇非常好吃。
馬,うま ②,马,牧場で、馬に乗る体験をしました。,在牧场体验了骑马。
思い出す,おもいだす ④,想起,小さい頃の楽しかった思い出を思い出した。,想起了小时候快乐的回忆。
営業時間,えいぎょうじかん ⑤,营业时间,この店の営業時間は、夜十時までです。,这家店的营业时间到晚上十点。
昼過ぎ,ひるすぎ ⓪,过午,昼過ぎに、友達と駅で待ち合わせた。,刚过中午，和朋友在车站碰头了。
休館日,きゅうかんび ③,闭馆日,せっかく来たのに、今日は美術館の休館日だった。,特意赶来，今天却是美术馆的闭馆日。
目覚まし時計,めざましどけい ⑤,闹钟,目覚まし時計をセットするのを忘れた。,忘了定闹钟。
家事,かじ ①,家务,週末は、溜まった家事をまとめて片付ける。,周末把积攒的家务一并处理。
おもちゃ,おもちゃ ②,玩具,子供におもちゃを買い与えました。,给孩子买了玩具。
片思い,かたおもい ⓪,单相思,彼は、クラスの女の子に片思いをしている。,他正在单恋班上的一个女孩。
はち,はち ②,蜜蜂,庭で、はちに刺されてしまった。,在院子里被蜜蜂蛰了。
無視,むし ①,忽视、无视,挨拶をしたのに、無視されてしまった。,虽然打了招呼，但却被无视了。
急停車,きゅうていしゃ ③,紧急停车,踏切内に人がいたため、電車が急停車した。,因为道口有人，电车紧急停车了。
ウサギ,ウサギ ⓪,兔子,ウサギは耳が長くて、とてもかわいい。,兔子的耳朵很长，非常可爱。
スーツケース,スーツケース ④,行李箱,旅行のために、大きなスーツケースを買った。,为了旅行买了个大的行李箱。
中身,なかみ ②,内容物,袋の中身を確認してください。,请确认袋子里的东西。
頭痛,ずつう ⓪,头痛,昨日は、ひどい頭痛に悩まされた。,昨天深受剧烈头痛的困扰。
早退,そうたい ⓪,早退,体調が悪いので、今日は早退します。,身体不舒服，今天早退。
束,たば ②,束、捆,彼女に、美しい花束をプレゼントした。,送了她一束美丽的花。
製品,せいひん ⓪,产品,日本の家電製品は、海外でも人気がある。,日本的家电产品在海外也很受欢迎。
旅,たび ②,旅行,卒業したら、世界一周の旅に出たい。,毕业后想去环游世界旅行。
度々,たびたび ⓪,屡次,彼は、度々会議に遅刻してくる。,他屡次开会迟到。
成人,せいじん ⓪,成年人,日本では、十八歳から成人と認められる。,在日本，18岁被认定为成年人。
唯,ただ ①,只是,彼は、ただの友達にすぎません。,他只不过是个普通朋友。
逮捕,たいほ ①,逮捕,泥棒が、警察に逮捕されました。,小偷被警察逮捕了。
体育,たいいく ①,体育,私は、学校の科目の中で体育が一番好きだ。,在学校科目中我最喜欢体育。
大会,たいかい ⓪,大会、比赛,テニス大会に出場して、優勝した。,参加了网球大赛并获得了冠军。
大半,たいはん ⓪,大半,仕事の大半が、終わりました。,大部分工作都已经完成了。
大量,たいりょう ⓪,大量,スーパーで、食料品を大量に買った。,在超市买了大量的食品。
责任,せきにん ⓪,责任,自分の言動には、責任を持つべきだ。,应当对自己的言行负责。
大戦,たいせん ⓪,大战,第二次世界大戦について学んだ。,学习了关于第二次世界大战的内容。
石炭,せきたん ③,石煤,昔は、暖房に石炭が使われていた。,以前煤被用于取暖。
大使,たいし ①,大使,彼は、日本大使としてアメリカへ行った。,他作为日本大使去了美国。
石油,せきゆ ⓪,石油,石油の価格が上がって、家計が苦しい。,石油价格上涨，家里的开支很吃紧。
大した,たいした ①,了不起的,彼は、大した才能の持ち主だ。,他是个很有才华的人。
対象,たいしょう ⓪,对象,この映画は、子供を対象に作られている。,这部电影是面向儿童制作的。
設計,せっけい ⓪,设计,彼は、新しい橋の設計を担当した。,他负责了新桥的设计。
体操,たいそう ⓪,体操,毎朝、ラジオ体操をするのが習慣だ。,每天早上做广播体操是我的习惯。
对する,たいする ③,对于,先生に対する、敬意を忘れてはいけない。,不能忘记对老师的敬意。
大抵,たいてい ⓪,大概、一般,休みの日は、大抵家で本を読んでいる。,休息日我一般都在家里看书。
偶々,たまたま ⓪,偶然,街で、たまたま旧友に会った。,在街上偶然遇到了老朋友。
説明会,せつめいかい ③,说明会,会社の入社説明会に参加しました。,参加了公司的入职说明会。
暗記,あんき ⓪,背诵、暗记,試験のために、単語を暗記した。,为了考试背了单词。
有らゆる,あらゆる ③,所有的,有らゆる可能性を、検討してみよう。,让我们探讨一下所有的可能性吧。
新た,あらた ①,重新、新,新たな気持ちで、仕事を始めます。,以崭新的心情开始工作。
集まり,あつまり ③,聚会,今夜は、友達の集まりがある。,今晚有个朋友聚会。
読書,どくしょ ①,读书,趣味は、読書と音楽鑑賞です。,兴趣是读书和欣赏音乐。
同一,どういつ ⓪,同一、一样,彼らは、同一の犯人グループだと判明した。,查明他们是同一个犯罪团伙。
会計,かいけい ⓪,会计、结账,会計を済ませてから、店を出た。,结完账后离开了店。
科目,かもく ⓪,科目,好きな科目は、歴史と地理です。,喜欢的科目是历史和地理。
使用,しよう ⓪,使用,授業中の携帯電話の使用は、禁止です。,上课禁止使用手机。
食品,しょくひん ⓪,食品,このスーパーは、新鮮な食品を扱っている。,这家超市经营新鲜食品。
入場,にゅうじょう ⓪,入场,入場料は、一人五百円です。,门票是每人500日元。
収める,おさめる ③,收纳、获得,彼は、素晴らしい成果を収めた。,他取得了辉煌的成果。
お昼,おひる ⓪,午饭、中午,お昼は、何を食べましたか。,午饭吃了什么？
连续,れんぞく ⓪,连续,三日間連続で雨が降っています。,已经连续下了三天的雨。
積極的,せっきょくてき ⓪,积极的,彼は仕事に対して非常に積極的です。,他对待工作非常积极。
責める,せめる ②,责备、责怪,失敗をあまり自分自身で責めないでください。,请不要因为失败而过分责怪自己。
宣伝,せんでん ⓪,宣传,新商品の宣伝のためにテレビCMを流しました。,为了宣传新产品，播放了电视广告。
太陽,たいよう ①,太阳,太陽の光を浴びて、植物が育ちます。,沐浴着阳光，植物生长。
先日,せんじつ ⓪,前几天、前些日子,先日はお忙しい中、ありがとうございました。,前些日子在百忙之中，非常感谢。
滞在,たいざい ⓪,停留、逗留,日本に三ヶ月間滞在する予定です。,打算在日本停留三个月。
専攻,せんこう ⓪,专业、专攻,大学では経済学を専攻しています。,在大学里专业是经济学。
専門,せんもん ⓪,专门、专业,彼の専門は人工知能の研究です。,他的专业是人工智能研究。
宝,たから ⓪,宝物,家族は私にとって一番の宝です。,家人对我来说是最珍贵的宝物。
専門家,せんもんか ⓪,专家,この問題について、専門家に相談しましょう。,关于这个问题，咨询一下专家吧。
弾,たま ②,子弹、弹丸,犯人は空に向かって弾を撃ちました。,犯人朝着天空发射了子弹。
選手,せんしゅ ①,选手、运动员,彼はオリンピックの選手に選ばれました。,他被选为奥林匹克运动员。
貯まる,たまる ⓪,积攒、存下,毎日少しずつお金が貯まってきました。,每天一点点，钱终于攒下来了。
選択,せんたく ①,选择,将来の道を選択するのは自分自身です。,选择未来的道路是靠你自己。
貯める,ためる ⓪,存（钱）、积累,旅行に行くために、アルバイトでお金を貯める。,为了去旅行，打工存钱。
説,せつ ①,学说、说法,この病気の原因にはいろいろな説があります。,关于这种病的起因有各种说法。
試し,ためし ③,尝试、试用,試しに一度このソフトを使ってみてください。,请试着使用一下这个软件。
設備,せつび ①,设备、设施,このジムは最新の設備が整っています。,这家健身房配备了最新的设施。
試す,ためす ②,尝试、测试,新しい化粧品を肌で試してみました。,在皮肤上试用了新的化妆品。
節約,せつやく ⓪,节约,生活費を節約するために、自炊をしています。,为了节约生活费，我坚持自己做饭。
種,たね ①,种子、种类,庭に花の種をまきました。,在院子里撒了花的种子。
単語,たんご ⓪,单词,毎日十個ずつ新しい単语を覚えています。,每天记住十个新单词。
喋る,しゃべる ②,谈话、聊天,彼女は友達と楽しそうにお喋りしています。,她正和朋友愉快地聊天。
谷,たに ②,山谷,谷の底をきれいな川が流れています。,山谷底部流淌着清澈的河流。
車道,しゃどう ⓪,车行道,車道を歩くのは危ないので歩道を歩きましょう。,走车行道很危险，请走人行道。
社員,しゃいん ①,职员,彼は大手自動車会社の社員です。,他是一家大型汽车公司的职员。
単位,たんい ①,单位、学分,卒業するためにあと二単位足りません。,为了毕业还差两个学分。
借金,しゃっきん ⓪,借款、债,彼は多額の借金を抱えています。,他背负着巨额债务。
他人,たにん ⓪,他人、别人,他人の意見に振り回されないようにしよう。,尽量不要被他人的意见所左右。
詩,し ①,诗歌,彼は美しい自然についての詩を書きました。,他写了一首关于美丽大自然的诗。
幸せ,しあわせ ⓪,幸福,家族と過ごす時間が一番の幸せです。,和家人度过的时光是最幸福的。
